ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11585658,JC139974,12/31/2018 05:27:00 PM,079XX S DAMEN AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,611,6,17,71,11,,,2018,02/05/2019 04:17:58 PM,,,
11585601,JC140216,10/14/2018 12:00:00 PM,001XX S LOTUS AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1522,15,29,25,11,,,2018,02/05/2019 04:17:58 PM,,,
11585535,JC140195,07/20/2018 10:00:00 AM,044XX W ARMITAGE AVE,1120,DECEPTIVE PRACTICE,FALSE,FALSE,2522,25,36,20,10,,,2018,02/05/2019 04:17:58 PM,,,
11585534,JC140081,12/07/2018 08:00:00 PM,009XX W CULLOM AVE,1563,SEX OFFENSE,FALSE,FALSE,1915,19,46,3,17,,,2018,02/05/2019 04:17:58 PM,,,
11585531,JC140051,07/01/2018 12:00:00 AM,053XX W LEXINGTON ST,820,THEFT,FALSE,FALSE,1522,15,29,25,6,,,2018,02/05/2019 04:17:58 PM,,,
11585507,JC139931,12/17/2018 12:17:00 PM,014XX W 90TH ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,2222,22,21,73,11,,,2018,02/05/2019 04:17:58 PM,,,
11585493,JC139960,10/23/2018 10:30:00 AM,036XX N CLARK ST,2825,OTHER OFFENSE,FALSE,FALSE,1923,19,44,6,26,,,2018,02/05/2019 04:17:58 PM,,,
11585440,JC140000,12/20/2018 03:00:00 PM,027XX S DRAKE AVE,820,THEFT,FALSE,FALSE,1032,10,22,30,6,,,2018,02/05/2019 04:17:58 PM,,,
11585411,JC139797,08/31/2018 08:00:00 AM,039XX N PITTSBURGH AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,1631,16,38,17,11,,,2018,02/05/2019 04:17:58 PM,,,
11585403,JC139934,03/09/2018 05:00:00 PM,004XX E OHIO ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1834,18,42,8,11,,,2018,02/05/2019 04:17:58 PM,,,
11585388,JC139859,12/07/2018 04:30:00 PM,087XX S BURLEY AVE,820,THEFT,FALSE,FALSE,424,4,10,46,6,,,2018,02/05/2019 04:17:58 PM,,,
11585293,JC139776,12/03/2018 12:01:00 AM,0000X N WACKER DR,1122,DECEPTIVE PRACTICE,FALSE,FALSE,122,1,42,32,10,,,2018,02/05/2019 04:17:58 PM,,,
11585240,JC139731,11/26/2018 12:00:00 AM,031XX S LITUANICA AVE,1155,DECEPTIVE PRACTICE,FALSE,FALSE,913,9,11,60,11,,,2018,02/05/2019 04:17:58 PM,,,
11585174,JC139608,02/04/2018 10:00:00 AM,010XX S STATE ST,1154,DECEPTIVE PRACTICE,FALSE,FALSE,123,1,4,32,11,,,2018,02/05/2019 04:17:58 PM,,,
11585140,JC139566,03/01/2018 12:00:00 AM,008XX W BLACKHAWK ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1822,18,27,8,11,,,2018,02/05/2019 04:17:58 PM,,,
11585127,JC139573,12/04/2018 12:00:00 PM,0000X W SUPERIOR ST,1110,DECEPTIVE PRACTICE,FALSE,FALSE,1832,18,2,8,11,,,2018,02/05/2019 04:17:58 PM,,,
11574006,JC125681,11/30/2018 04:15:00 PM,0000X N CLARK ST,1120,DECEPTIVE PRACTICE,FALSE,FALSE,122,1,42,32,10,,,2018,02/05/2019 04:09:13 PM,,,
11559376,JC108076,12/22/2018 01:00:00 PM,036XX S RHODES AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,212,2,4,35,11,1180179,1881033,2018,02/05/2019 04:09:13 PM,41.82882266,-87.61443549,"(41.828822656, -87.614435488)"
11552940,JC100516,12/31/2018 10:00:00 AM,023XX N HARDING AVE,1750,OFFENSE INVOLVING CHILDREN,TRUE,TRUE,2525,25,35,22,20,1149662,1915232,2018,02/05/2019 04:09:13 PM,41.92331478,-87.7255125,"(41.923314779, -87.725512504)"
11552493,JB574199,12/31/2018 06:20:00 PM,100XX W OHARE ST,1150,DECEPTIVE PRACTICE,TRUE,FALSE,1651,16,41,76,11,1100658,1934241,2018,02/05/2019 04:09:13 PM,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
11550790,JB572163,12/30/2018 01:10:00 AM,004XX E 87TH ST,326,ROBBERY,FALSE,FALSE,632,6,9,44,3,1180281,1847388,2018,02/05/2019 04:09:13 PM,41.7364952,-87.61509236,"(41.736495198, -87.615092361)"
11548345,JB569350,07/19/2018 09:00:00 AM,045XX S DAMEN AVE,890,THEFT,TRUE,FALSE,924,9,12,61,6,1163666,1874299,2018,02/05/2019 04:09:13 PM,41.81070701,-87.67520978,"(41.81070701, -87.675209784)"
11541445,JB556862,12/05/2018 12:00:00 PM,077XX S CLYDE AVE,1154,DECEPTIVE PRACTICE,FALSE,FALSE,414,4,8,43,11,1191545,1854101,2018,02/05/2019 04:09:13 PM,41.7546509,-87.57360828,"(41.754650898, -87.573608277)"
11540658,JB560182,12/19/2018 06:00:00 PM,085XX S COLFAX AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,423,4,7,46,11,1194981,1848824,2018,02/05/2019 04:09:13 PM,41.74008644,-87.56119015,"(41.740086438, -87.561190152)"
11537240,JB550253,12/06/2018 12:00:00 PM,012XX W SHERWIN AVE,820,THEFT,FALSE,FALSE,2423,24,49,1,6,1166309,1948784,2018,02/05/2019 04:09:13 PM,42.01504257,-87.66338147,"(42.015042573, -87.663381471)"
11517528,JB529669,11/26/2018 01:23:00 PM,056XX W FULLERTON AVE,4387,OTHER OFFENSE,TRUE,TRUE,2515,25,36,19,26,1138165,1915386,2018,02/05/2019 04:09:13 PM,41.92395323,-87.76775344,"(41.923953225, -87.76775344)"
11486872,JB489065,10/25/2018 12:32:00 AM,076XX S SOUTH CHICAGO AVE,326,ROBBERY,TRUE,FALSE,411,4,5,45,3,1186357,1854748,2018,02/05/2019 04:09:13 PM,41.75655047,-87.59260005,"(41.756550472, -87.592600053)"
11459200,JB452299,09/26/2018 08:00:00 PM,030XX W FIFTH AVE,1310,CRIMINAL DAMAGE,TRUE,FALSE,1124,11,28,27,14,1155971,1899229,2018,02/05/2019 04:09:13 PM,41.87927607,-87.70276307,"(41.879276068, -87.702763071)"
11457731,JB450461,09/25/2018 02:56:00 PM,041XX N PITTSBURGH AVE,031A,ROBBERY,FALSE,FALSE,1614,16,38,17,3,1120338,1926475,2018,02/05/2019 04:09:13 PM,41.95468688,-87.83302061,"(41.95468688, -87.833020605)"
11442501,JB430445,09/10/2018 12:00:00 PM,061XX N GREENVIEW AVE,620,BURGLARY,TRUE,FALSE,2433,24,48,77,5,1165195,1941068,2018,02/05/2019 04:09:13 PM,41.99389356,-87.66770131,"(41.993893562, -87.667701305)"
11440743,JB428106,09/09/2018 01:27:00 AM,029XX N MASON AVE,4387,OTHER OFFENSE,TRUE,FALSE,2514,25,30,19,26,1136212,1918987,2018,02/05/2019 04:09:13 PM,41.9338699,-87.77484347,"(41.933869895, -87.774843466)"
11420283,JB401335,08/20/2018 12:20:00 PM,055XX W NORTH AVE,486,BATTERY,TRUE,FALSE,2532,25,37,25,08B,1138935,1910082,2018,02/05/2019 04:09:13 PM,41.90938448,-87.76505325,"(41.909384478, -87.765053252)"
11394057,JB367565,07/27/2018 11:50:00 AM,010XX W MARQUETTE RD,1150,DECEPTIVE PRACTICE,FALSE,FALSE,724,7,6,68,11,1170336,1860384,2018,02/05/2019 04:09:13 PM,41.7723799,-87.65114991,"(41.772379902, -87.651149907)"
11392252,JB364839,07/25/2018 03:45:00 PM,001XX N LOTUS AVE,486,BATTERY,TRUE,TRUE,1523,15,28,25,08B,1139928,1900521,2018,02/05/2019 04:09:13 PM,41.88312983,-87.76163939,"(41.883129825, -87.761639393)"
11390986,JB363556,05/25/2018 12:59:00 PM,014XX W SHAKESPEARE AVE,1120,DECEPTIVE PRACTICE,FALSE,FALSE,1811,18,2,7,10,1166398,1914416,2018,02/05/2019 04:09:13 PM,41.92073364,-87.66404188,"(41.920733638, -87.664041878)"
11360338,JB323422,06/26/2018 10:51:00 AM,015XX W 79TH ST,281,CRIM SEXUAL ASSAULT,TRUE,FALSE,612,6,17,71,2,1167579,1852347,2018,02/05/2019 04:09:13 PM,41.75038487,-87.66148638,"(41.750384866, -87.661486376)"
11354856,JB316074,06/21/2018 01:30:00 AM,050XX W QUINCY ST,281,CRIM SEXUAL ASSAULT,TRUE,FALSE,1533,15,28,25,2,1142729,1898529,2018,02/05/2019 04:09:13 PM,41.87761187,-87.75140343,"(41.877611866, -87.75140343)"
11338271,JB294366,05/10/2018 09:00:00 AM,051XX N DAMEN AVE,1120,DECEPTIVE PRACTICE,FALSE,FALSE,2032,20,40,4,10,1162073,1934220,2018,02/05/2019 04:09:13 PM,41.97516842,-87.67937763,"(41.975168416, -87.67937763)"
11335400,JB290463,06/02/2018 10:28:00 PM,049XX N MONTICELLO AVE,031A,ROBBERY,FALSE,FALSE,1712,17,33,14,3,1151161,1932587,2018,02/05/2019 04:09:13 PM,41.97090893,-87.71954795,"(41.97090893, -87.71954795)"
11316228,JB264358,02/16/2018 02:45:00 PM,043XX S WESTERN AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,922,9,15,58,11,1161095,1875751,2018,02/05/2019 04:09:13 PM,41.81474512,-87.68459979,"(41.814745117, -87.684599788)"
11299261,JB242331,04/29/2018 08:56:00 AM,035XX W VAN BUREN ST,4387,OTHER OFFENSE,TRUE,TRUE,1133,11,28,27,26,1152955,1897800,2018,02/05/2019 04:09:13 PM,41.87541501,-87.71387525,"(41.875415013, -87.713875252)"
11223618,JB141861,02/05/2018 11:30:00 AM,034XX W 26TH ST,1120,DECEPTIVE PRACTICE,TRUE,FALSE,1024,10,22,30,10,1153649,1886512,2018,02/05/2019 04:09:13 PM,41.84442569,-87.71162725,"(41.844425687, -87.711627251)"
11448716,JB364686,07/25/2018 01:40:00 PM,054XX W WALTON ST,2024,NARCOTICS,TRUE,FALSE,1524,15,37,25,18,,,2018,02/05/2019 04:17:58 PM,,,
11445069,JB362259,07/23/2018 05:10:00 PM,002XX N LA CROSSE AVE,2027,NARCOTICS,TRUE,FALSE,1532,15,28,25,18,,,2018,02/05/2019 04:17:58 PM,,,
11585064,JC139520,08/01/2018 12:01:00 AM,066XX N ASHLAND AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,2432,24,49,1,11,,,2018,02/04/2019 04:25:57 PM,,,
11584981,JC139120,11/09/2018 10:00:00 AM,069XX S SOUTH SHORE DR,1154,DECEPTIVE PRACTICE,FALSE,FALSE,331,3,5,43,11,,,2018,02/04/2019 04:25:57 PM,,,
11584606,JC139012,11/01/2018 10:20:00 PM,058XX N KINGSDALE AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1711,17,39,12,11,,,2018,02/04/2019 04:25:57 PM,,,
11584602,JC138912,11/30/2018 12:00:00 PM,011XX W ROSCOE ST,810,THEFT,FALSE,FALSE,1924,19,44,6,6,,,2018,02/04/2019 04:25:57 PM,,,
11584575,JC139083,12/21/2018 12:00:00 AM,063XX S LANGLEY AVE,1154,DECEPTIVE PRACTICE,FALSE,FALSE,312,3,20,42,11,,,2018,02/04/2019 04:25:57 PM,,,
11584564,JC138794,12/16/2018 07:00:00 AM,015XX W NORTH AVE,520,ASSAULT,FALSE,TRUE,1433,14,32,24,04A,,,2018,02/04/2019 04:25:57 PM,,,
11584380,JC138738,12/29/2018 12:00:00 PM,001XX W RANDOLPH ST,2826,OTHER OFFENSE,FALSE,TRUE,122,1,42,32,26,,,2018,02/04/2019 04:25:57 PM,,,
11584226,JC138513,11/16/2018 03:00:00 PM,048XX N CLARK ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,2032,20,47,3,11,,,2018,02/04/2019 04:25:57 PM,,,
11584142,JC138494,11/01/2018 02:00:00 PM,023XX W DEVON AVE,1330,CRIMINAL TRESPASS,FALSE,FALSE,2413,24,50,2,26,,,2018,02/04/2019 04:25:57 PM,,,
11584102,JC136966,12/31/2018 10:00:00 PM,031XX W 59TH ST,1210,DECEPTIVE PRACTICE,FALSE,FALSE,824,8,14,63,11,,,2018,02/04/2019 04:25:57 PM,,,
11582756,JC136619,11/30/2018 10:00:00 AM,067XX S MERRILL AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,331,3,5,43,11,,,2018,02/04/2019 04:16:48 PM,,,
11549184,JB570081,12/28/2018 11:58:00 AM,007XX W 66TH PL,5000,OTHER OFFENSE,FALSE,TRUE,723,7,6,68,26,1172436,1860775,2018,02/04/2019 04:16:48 PM,41.77340689,-87.64344043,"(41.773406885, -87.643440433)"
11548862,JB569748,12/28/2018 04:15:00 AM,043XX W CULLERTON ST,495,BATTERY,TRUE,TRUE,1012,10,24,29,04B,1147831,1890068,2018,02/04/2019 04:16:48 PM,41.8542974,-87.73288732,"(41.8542974, -87.732887316)"
11548262,JB569114,12/27/2018 03:20:00 PM,031XX N KENMORE AVE,031A,ROBBERY,TRUE,FALSE,1933,19,44,6,3,1168731,1920973,2018,02/04/2019 04:16:48 PM,41.93867609,-87.65527947,"(41.938676086, -87.655279469)"
11547598,JB568397,12/26/2018 07:10:00 PM,088XX S CLYDE AVE,486,BATTERY,TRUE,TRUE,412,4,8,48,08B,1191710,1846872,2018,02/04/2019 04:16:48 PM,41.73480988,-87.57323762,"(41.734809881, -87.573237622)"
11547073,JB567827,12/21/2018 10:00:00 PM,057XX N MILWAUKEE AVE,1152,DECEPTIVE PRACTICE,FALSE,FALSE,1622,16,45,11,11,1135277,1938237,2018,02/04/2019 04:16:48 PM,41.98671045,-87.777821,"(41.986710448, -87.777820996)"
11544280,JB564563,12/23/2018 12:52:00 AM,039XX W GRAND AVE,420,BATTERY,FALSE,FALSE,2535,25,26,23,04B,1149442,1908989,2018,02/04/2019 04:16:48 PM,41.90618767,-87.72648318,"(41.906187671, -87.72648318)"
11542628,JB562559,12/21/2018 01:45:00 PM,004XX S RACINE AVE,320,ROBBERY,FALSE,FALSE,1231,12,28,28,3,1168451,1897951,2018,02/04/2019 04:16:48 PM,41.87550838,-87.65697569,"(41.875508384, -87.656975687)"
11542459,JB562295,12/19/2018 12:00:00 PM,025XX W HADDON AVE,1130,DECEPTIVE PRACTICE,FALSE,FALSE,1211,12,1,24,11,1159212,1907553,2018,02/04/2019 04:16:48 PM,41.9020519,-87.6906337,"(41.902051896, -87.690633699)"
11542420,JB562211,12/20/2018 09:07:00 PM,032XX W MONTROSE AVE,1152,DECEPTIVE PRACTICE,FALSE,FALSE,1724,17,33,14,11,1154117,1929064,2018,02/04/2019 04:16:48 PM,41.96118298,-87.70877284,"(41.961182975, -87.708772837)"
11539858,JB543120,12/06/2018 11:40:00 PM,056XX S HALSTED ST,486,BATTERY,TRUE,TRUE,712,7,20,68,08B,1171933,1867456,2018,02/04/2019 04:16:48 PM,41.79175137,-87.64508828,"(41.79175137, -87.645088281)"
11537622,JB556366,12/16/2018 10:45:00 PM,079XX S CHAMPLAIN AVE,041A,BATTERY,TRUE,TRUE,624,6,6,44,04B,1181943,1852493,2018,02/04/2019 04:16:48 PM,41.75046566,-87.60884594,"(41.750465664, -87.608845937)"
11535265,JB553035,11/02/2018 08:00:00 AM,057XX S WOLCOTT AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,715,7,15,67,11,1164668,1866603,2018,02/04/2019 04:16:48 PM,41.78956714,-87.6717518,"(41.789567141, -87.671751804)"
11524666,JB538922,12/03/2018 03:28:00 PM,022XX S CHRISTIANA AVE,486,BATTERY,TRUE,TRUE,1024,10,22,30,08B,1154376,1888984,2018,02/04/2019 04:16:48 PM,41.85119467,-87.7088933,"(41.851194674, -87.708893299)"
11521078,JB534206,11/30/2018 07:24:00 AM,0000X W 79TH ST,560,ASSAULT,TRUE,FALSE,623,6,6,44,08A,1177483,1852629,2018,02/04/2019 04:16:48 PM,41.75094076,-87.62518522,"(41.750940757, -87.625185222)"
11520657,JB533351,11/29/2018 01:20:00 PM,004XX S WABASH AVE,420,BATTERY,TRUE,FALSE,113,1,42,32,04B,1176872,1898378,2018,02/04/2019 04:16:48 PM,41.87649384,-87.62604438,"(41.876493842, -87.626044379)"
11506292,JB514714,11/12/2018 02:38:00 PM,094XX W FOSTER AVE,1320,CRIMINAL DAMAGE,TRUE,FALSE,1654,16,41,76,14,1112122,1933208,2018,02/04/2019 04:16:48 PM,41.97329078,-87.86308898,"(41.973290775, -87.863088979)"
11497361,JB502851,11/04/2018 07:48:00 AM,058XX S ADA ST,4650,OTHER OFFENSE,TRUE,FALSE,713,7,16,67,26,1168321,1866212,2018,02/04/2019 04:16:48 PM,41.78841627,-87.65836862,"(41.788416273, -87.658368623)"
11488316,JB490778,10/25/2018 04:30:00 PM,058XX N LINCOLN AVE,340,ROBBERY,TRUE,FALSE,2011,20,40,2,3,1155809,1938617,2018,02/04/2019 04:16:48 PM,41.98736291,-87.7022934,"(41.987362912, -87.702293402)"
11458011,JB450472,09/14/2018 08:40:00 AM,092XX S ELLIS AVE,1752,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,413,4,8,47,20,1184500,1843921,2018,02/04/2019 04:16:48 PM,41.7268837,-87.59974377,"(41.726883704, -87.599743769)"
11399793,JB375132,08/01/2018 08:20:00 PM,006XX S MICHIGAN AVE,1200,DECEPTIVE PRACTICE,TRUE,FALSE,123,1,42,32,13,1177377,1897431,2018,02/04/2019 04:16:48 PM,41.87388379,-87.62421893,"(41.873883785, -87.624218932)"
11336975,JB289879,05/31/2018 01:19:00 PM,051XX S UNION AVE,320,ROBBERY,TRUE,TRUE,935,9,3,61,3,1172508,1870819,2018,02/04/2019 04:16:48 PM,41.80096715,-87.64288082,"(41.800967148, -87.642880822)"
11242368,JB167388,02/27/2018 02:27:00 PM,021XX S OAKLEY AVE,1477,WEAPONS VIOLATION,TRUE,FALSE,1234,12,25,31,15,1161370,1889564,2018,02/04/2019 04:16:48 PM,41.85264382,-87.68320758,"(41.852643823, -87.683207575)"
